,Title,Rate,Year,Length
1,The Shawshank Redemption,9.3 (2.9M),1994,2h 22m
2,The Godfather,9.2 (2M),1972,2h 55m
3,The Dark Knight,9.0 (2.9M),2008,2h 32m
4,The Godfather Part II,9.0 (1.4M),1974,3h 22m
5,12 Angry Men,9.0 (863K),1957,1h 36m
6,Schindler's List,9.0 (1.4M),1993,3h 15m
7,The Lord of the Rings: The Return of the King,9.0 (2M),2003,3h 21m
8,Pulp Fiction,8.9 (2.2M),1994,2h 34m
9,The Lord of the Rings: The Fellowship of the Ring,8.9 (2M),2001,2h 58m
10,"The Good, the Bad and the Ugly",8.8 (810K),1966,2h 58m
11,Forrest Gump,8.8 (2.3M),1994,2h 22m
12,The Lord of the Rings: The Two Towers,8.8 (1.8M),2002,2h 59m
13,Fight Club,8.8 (2.3M),1999,2h 19m
14,Inception,8.8 (2.5M),2010,2h 28m
15,Star Wars: Episode V - The Empire Strikes Back,8.7 (1.4M),1980,2h 4m
16,The Matrix,8.7 (2M),1999,2h 16m
17,Dune: Part Two,8.7 (338K),2024,2h 46m
18,Goodfellas,8.7 (1.3M),1990,2h 25m
19,One Flew Over the Cuckoo's Nest,8.7 (1.1M),1975,2h 13m
20,Se7en,8.6 (1.8M),1995,2h 7m
21,Interstellar,8.7 (2.1M),2014,2h 49m
22,It's a Wonderful Life,8.6 (499K),1946,2h 10m
23,Seven Samurai,8.6 (366K),1954,3h 27m
24,The Silence of the Lambs,8.6 (1.5M),1991,1h 58m
25,Saving Private Ryan,8.6 (1.5M),1998,2h 49m
26,City of God,8.6 (800K),2002,2h 10m
27,Life Is Beautiful,8.6 (742K),1997,1h 56m
28,The Green Mile,8.6 (1.4M),1999,3h 9m
29,Terminator 2: Judgment Day,8.6 (1.2M),1991,2h 17m
30,Star Wars: Episode IV - A New Hope,8.6 (1.4M),1977,2h 1m
31,Back to the Future,8.5 (1.3M),1985,1h 56m
32,Spirited Away,8.6 (847K),2001,2h 5m
33,The Pianist,8.5 (910K),2002,2h 30m
34,Parasite,8.5 (956K),2019,2h 12m
35,Psycho,8.5 (717K),1960,1h 49m
36,Spider-Man: Across the Spider-Verse,8.6 (366K),2023,2h 20m
37,Gladiator,8.5 (1.6M),2000,2h 35m
38,The Lion King,8.5 (1.1M),1994,1h 28m
39,Léon: The Professional,8.5 (1.2M),1994,1h 50m
40,The Departed,8.5 (1.4M),2006,2h 31m
41,American History X,8.5 (1.2M),1998,1h 59m
42,Whiplash,8.5 (986K),2014,1h 46m
43,The Prestige,8.5 (1.4M),2006,2h 10m
44,Grave of the Fireflies,8.5 (310K),1988,1h 29m
45,Harakiri,8.6 (68K),1962,2h 13m
46,The Usual Suspects,8.5 (1.1M),1995,1h 46m
47,Casablanca,8.5 (605K),1942,1h 42m
48,The Intouchables,8.5 (927K),2011,1h 52m
49,Cinema Paradiso,8.5 (282K),1988,2h 54m
50,Modern Times,8.5 (259K),1936,1h 27m
51,Rear Window,8.5 (521K),1954,1h 52m
52,Once Upon a Time in the West,8.5 (349K),1968,2h 46m
53,Alien,8.5 (949K),1979,1h 57m
54,City Lights,8.5 (196K),1931,1h 27m
55,Apocalypse Now,8.4 (709K),1979,2h 27m
56,Django Unchained,8.5 (1.7M),2012,2h 45m
57,Memento,8.4 (1.3M),2000,1h 53m
58,12th Fail,9.0 (109K),2023,2h 27m
59,WALL·E,8.4 (1.2M),2008,1h 38m
60,Raiders of the Lost Ark,8.4 (1M),1981,1h 55m
61,The Lives of Others,8.4 (410K),2006,2h 17m
62,Sunset Blvd,8.4 (236K),1950,1h 50m
63,Paths of Glory,8.4 (212K),1957,1h 28m
64,Avengers: Infinity War,8.4 (1.2M),2018,2h 29m
65,Spider-Man: Into the Spider-Verse,8.4 (669K),2018,1h 57m
66,Witness for the Prosecution,8.4 (138K),1957,1h 56m
67,The Shining,8.4 (1.1M),1980,2h 26m
68,The Great Dictator,8.4 (237K),1940,2h 5m
69,Aliens,8.4 (762K),1986,2h 17m
70,Inglourious Basterds,8.4 (1.6M),2009,2h 33m
71,The Dark Knight Rises,8.4 (1.8M),2012,2h 44m
72,Dr,8.4 (517K),1964,1h 35m
73,American Beauty,8.3 (1.2M),1999,2h 2m
74,Oldboy,8.3 (634K),2003,2h
75,Coco,8.4 (589K),2017,1h 45m
76,Amadeus,8.4 (427K),1984,2h 40m
77,Toy Story,8.3 (1.1M),1995,1h 21m
78,Das Boot,8.4 (264K),1981,2h 29m
79,Avengers: Endgame,8.4 (1.3M),2019,3h 1m
80,Braveheart,8.3 (1.1M),1995,2h 58m
81,Joker,8.4 (1.5M),2019,2h 2m
82,Princess Mononoke,8.3 (433K),1997,2h 14m
83,Good Will Hunting,8.3 (1.1M),1997,2h 6m
84,Your Name,8.4 (319K),2016,1h 46m
